"","Year","Prefs","PrefsJP","総人口","総人口.男.","総人口.女.","日本人人口","日本人人口.男.","日本人人口.女.","X15歳未満人口","X15歳未満人口.男.","X15歳未満人口.女.","X15.64歳人口","X15.64歳人口.男.","X15.64歳人口.女.","X65歳以上人口","X65歳以上人口.男.","X65歳以上人口.女.","出生数","出生数.男.","出生数.女.","合計特殊出生率","死亡数","死亡数.男.","死亡数.女.","転入者数.日本人移動者.","転入者数.日本人移動者..男.","転入者数.日本人移動者..女.","転出者数.日本人移動者.","転出者数.日本人移動者..男.","転出者数.日本人移動者..女.","婚姻件数","離婚件数","年平均気温","最高気温.日最高気温の月平均の最高値.","最低気温.日最低気温の月平均の最低値.","降水日数.年間.","降水量.年間.","着工建築物数","着工建築物床面積","旅館営業施設数.ホテルを含む.","旅館営業施設客室数.ホテルを含む.","標準価格.平均価格..住宅地.","標準価格.平均価格..商業地.","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数.一般.","月間有効求職者数.一般.","月間有効求人数.一般.","充足数.一般.","就職件数.一般.","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","ごみ総排出量.総量.","X1人1日当たりの排出量","ごみのリサイクル率","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出.二人以上の世帯.","食料費.二人以上の世帯.","住居費.二人以上の世帯.","光熱.水道費.二人以上の世帯.","家具.家事用品費.二人以上の世帯.","被服及び履物費.二人以上の世帯.","保健医療費.二人以上の世帯.","交通.通信費.二人以上の世帯.","教育費.二人以上の世帯.","教養娯楽費.二人以上の世帯.","その他の消費支出.二人以上の世帯."
"421",2019,"R36000","徳島県",728000,347000,381000,723000,346000,378000,81000,42000,39000,402000,200000,202000,245000,106000,139000,4554,2353,2201,1.46,10126,4876,5250,8586,4877,3709,11549,6298,5251,2878,1123,17.4,32,3.6,95,1543,3247,643811,506,9632,29700,59500,122,662,5452,191,3042,35153,89,1779,18173,6228,6068,37,1630,18431,6173,3317,3,4,93,1574,710,11821,333,18,2559,536,17,4,2136,109,20206,88331,122240,7225,7540,16412,4041,2140,1385,506,372788,252801,48768,70366,262332,964,16,92,727,431,208,18230,73,15735,2069,278855,69212,15509,20341,10408,10550,10619,44922,10024,27718,59553
"433",2019,"R37000","香川県",956000,464000,492000,945000,458000,487000,117000,60000,57000,535000,271000,264000,305000,133000,171000,6631,3391,3240,1.59,12148,5925,6223,16206,9270,6936,18219,10193,8026,4237,1674,17.3,32.4,2.6,92,927.5,4941,917668,361,13159,33000,74600,128,1115,9744,162,3552,50707,76,2147,25987,8946,8606,40,2096,25878,8355,4601,2,4,66,749,790,9120,362,12,1983,184,26,16,4920,335,28319,109706,185558,10058,9920,24378,5347,2830,1653,830,511556,336903,80880,91696,312165,868,18.2,77,825,475,215,23972,182,22084,2710,308268,68727,18130,20172,11740,10541,13012,52516,9667,31246,72517
"445",2019,"R38000","愛媛県",1339000,634000,705000,1328000,628000,700000,159000,81000,77000,739000,367000,372000,442000,186000,256000,8446,4342,4104,1.46,18281,8913,9368,16811,9806,7005,21045,11633,9412,5360,2151,17.4,32,3.2,101,1144.5,6278,1216464,449,15646,35800,95000,138,1182,11608,281,4880,68622,134,2849,33291,11281,10960,66,2803,33321,10786,5729,5,5,79,1105,1249,16051,633,52,3487,432,37,12,4671,333,35856,149278,237973,11958,12173,29647,7668,3793,2761,1055,679202,433882,101819,140937,452163,901,16.5,122,1226,660,315,26843,103,24068,3147,253697,65533,14019,20487,13736,9309,12140,39831,8758,23791,46093
"457",2019,"R39000","高知県",698000,329000,369000,693000,327000,367000,77000,39000,38000,375000,187000,188000,246000,103000,143000,4270,2200,2070,1.47,10317,5035,5282,8513,4853,3660,11096,5976,5120,2630,1240,17.8,31.4,2.6,117,2538.5,2705,494827,372,10489,30700,71400,39,365,2655,231,2986,32428,129,2089,17232,5721,5581,46,2022,18343,6036,3170,2,4,59,993,702,8861,272,34,1924,309,27,8,3089,273,25162,100839,114664,8035,8352,12980,3234,1598,998,628,295218,179810,61571,52680,252110,971,20.3,113,549,363,255,26201,35,20511,3199,302399,74006,24047,21279,12658,8847,12060,47206,10601,28138,63557
"469",2019,"R40000","福岡県",5104000,2416000,2688000,5039000,2381000,2658000,670000,343000,327000,3008000,1476000,1532000,1425000,597000,828000,39754,20343,19411,1.44,54099,26731,27368,99877,54943,44934,93553,52136,41417,25777,9774,17.9,31.9,4.4,110,1608.5,21247,5274897,1294,59632,52100,309000,430,5245,59352,738,17521,282012,368,9765,134958,45106,43060,164,8541,128210,41810,22501,18,34,432,8758,6568,109289,3039,254,23772,2643,163,19,44270,3358,149487,626800,872879,40957,39345,188855,38225,9981,16884,10936,3142166,1195909,1075863,850408,1772465,945,21,398,4713,3081,1021,115499,1232,113969,17539,299637,74024,19375,19025,11190,13255,13626,43269,14572,29892,61409
"481",2019,"R41000","佐賀県",815000,386000,429000,808000,383000,425000,110000,56000,54000,458000,226000,232000,246000,104000,143000,6231,3234,2997,1.64,9967,4784,5183,15192,8299,6893,17234,9283,7951,3394,1329,17.7,31.9,2.4,106,2078.5,4480,894704,344,9514,20300,40400,54,447,4080,164,3376,45085,92,2133,23204,7797,7463,52,2068,23834,7976,3476,3,2,75,785,810,7729,358,17,1721,292,31,2,3794,123,26321,105352,130408,8966,9513,21402,5350,2353,2228,730,482386,284083,76840,117788,271401,900,19.7,87,691,416,256,23996,24,22209,2431,295205,70713,17355,21314,13373,11577,14739,43023,11526,26354,65231
"493",2019,"R42000","長崎県",1327000,624000,702000,1318000,620000,698000,168000,86000,82000,725000,356000,369000,433000,182000,252000,9585,4914,4671,1.66,17612,8548,9064,20919,12027,8892,27939,15373,12566,5472,2126,17.9,31.1,4.5,113,1788,4868,1057273,612,21685,24500,96200,110,962,8757,329,5376,70472,189,3298,35982,12135,11802,79,3162,36624,12161,5608,2,8,61,1712,801,17010,377,23,3704,412,38,6,3935,180,43860,169563,193735,14233,15077,29577,6801,2841,2663,1222,568400,322556,112503,128648,479297,969,15.8,121,1371,729,488,35636,70,35906,4605,271229,68686,20871,21602,10139,8822,12176,39277,6041,22733,60882
"505",2019,"R43000","熊本県",1748000,825000,922000,1731000,819000,913000,233000,119000,113000,972000,477000,495000,543000,229000,314000,13305,6891,6414,1.6,21670,10444,11226,26476,15069,11407,30730,16961,13769,7535,2950,17.7,32,2.1,113,2026.5,10608,2172742,1182,27423,28400,143600,105,890,9061,347,7081,97724,172,4042,47827,16137,15631,73,3783,46369,14931,6921,2,9,54,1642,717,24973,362,18,5437,698,53,6,8032,1079,45696,189371,306722,15564,15886,45392,14700,6281,6374,2042,1248663,703895,202647,341688,580471,896,20.7,173,1469,845,622,54638,178,54825,6510,289882,68871,23533,19977,12724,10342,12599,41152,15629,24673,60381
"517",2019,"R44000","大分県",1135000,539000,597000,1123000,533000,590000,139000,71000,68000,623000,310000,313000,373000,158000,216000,7624,3923,3701,1.53,14614,7043,7571,17300,10011,7289,20394,11217,9177,4954,1944,17.4,31.1,3.3,107,1753,5374,984589,1080,24970,24900,55400,176,929,8684,270,4298,58558,132,2521,29191,9743,9537,55,2697,30846,9962,4857,5,5,163,1044,1784,15122,842,114,3177,310,48,14,4332,1563,33336,127828,192872,12744,13191,26651,7472,2938,3091,1340,629770,338768,128633,153842,405385,962,19.1,130,949,542,332,26634,25,25067,2605,249209,62719,14227,18838,11017,8413,12972,35099,6460,24077,55387
"529",2019,"R45000","宮崎県",1073000,505000,568000,1065000,502000,563000,143000,73000,70000,584000,286000,299000,346000,147000,199000,8043,4141,3902,1.73,13788,6732,7056,16780,9558,7222,20220,11112,9108,4633,2040,18.4,30.9,4.2,129,3045.5,5723,1079870,444,14995,24600,43700,94,777,6133,241,4292,61174,138,2779,29905,10106,9736,54,2617,30455,10043,4489,2,7,45,1090,683,10037,332,28,2222,265,36,5,4334,108,36229,143297,211218,14346,14779,20633,6478,3264,2205,987,590677,374629,94583,116802,393678,982,16.6,120,899,506,425,33541,43,32164,3417,263264,65441,13803,17497,11051,8380,13520,47727,5731,21791,58321
"541",2019,"R46000","鹿児島県",1602000,753000,849000,1589000,749000,840000,213000,109000,103000,878000,426000,452000,512000,218000,294000,11977,6032,5945,1.63,21834,10471,11363,25026,14636,10390,30194,16555,13639,6865,2895,19.4,32.1,5.5,125,2470,8236,1430015,904,26644,27300,81600,150,922,10201,515,7526,90463,232,4250,44933,15005,14551,89,4240,44981,14427,6265,4,6,142,1504,2092,15203,979,42,3265,499,42,4,6902,91,56052,223187,299450,19984,20509,29672,8830,4618,2592,1550,771604,499108,147190,120356,548911,920,15.6,204,1374,801,568,41923,349,42273,4495,285921,71660,16466,18844,11092,9092,17896,41379,8322,28002,63167
"553",2019,"R47000","沖縄県",1453000,715000,738000,1434000,704000,730000,245000,125000,120000,886000,445000,441000,322000,145000,177000,14902,7661,7241,1.82,12509,6767,5742,26892,14767,12125,26726,14585,12141,8027,3617,23.9,31.8,15.8,135,2637.5,5907,1799782,2156,56759,59100,164900,197,964,11005,270,6485,101550,156,3785,48382,16157,15303,64,3529,44938,14509,5910,2,8,39,1354,883,17920,428,42,3796,251,55,21,9820,820,49155,201533,226900,12807,13633,52441,14243,2785,8583,2685,1012652,306538,254651,443513,481354,889,14.5,78,901,613,591,54880,1702,50444,8108,210593,61599,22237,17993,8542,5749,10858,25255,5815,16888,35658
